url,name,price,rating,reviews,description,asin,manufacturer
/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_255?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-255,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹639,4.2 out of 5 stars,,,,
/Shalimar-Reusable-Grocery-Multipurpose-Colour/dp/B08LQGMDCK/ref=sr_1_256?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-256,SHALIMAR Reusable Grocery / Multipurpose Bags (Brown Colour) (19 x 18 x 7 Inch) - Pack of 1,₹315,4.0 out of 5 stars,,,,
/Cartoon-Unicorn-Haversack-Drawstring-Birthday/dp/B0BFXLZZ3J/ref=sr_1_257?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-257,"AK Store Cartoon Unicorn Print Dori Bag Haversack Bags, Drawstring Sack Bags, Exam Bags, Tution Bags for Boys, Girls, Kids, Birthday Return Gift Bags, Pink",₹99,,,,,
/Aepigo-Genuine-Leather-Messenger-10-5inch/dp/B0953Q6QVN/ref=sr_1_258?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-258,"Aepigo Men's and Women's Sling Messenger Bag Leather Men Bag Casual Business Messenger Bag for Cross body Bag Male Shoulder Bags Leather Sling Messenger Bag (Brown, L- 10.05inch H- 11.5inch W- 3inch)",₹947,3.9 out of 5 stars,,,,
/F-Gear-Yakuza-Brown-Laptop-Backpack/dp/B071VNWC1C/ref=sr_1_259?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-259,F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,"₹1,149",4.4 out of 5 stars,,,,
/Amazon-Basics-Stylish-Backpack-Laptop/dp/B09W4WRV5Q/ref=sr_1_260?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-260,"Amazon Basics - Laptop Backpack/Travel Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Stylish Design","₹1,859",,,,,
/sspa/click?ie=UTF8&spc=MTo4MTk3NDc4NDQyMTg2NDczOjE2NzUyNzI2Mjg6c3BfYnRmOjIwMTAzOTY5MjQ1NTk4OjowOjo&url=%2FVertical-Polyester-Backpack-8903496163575-33X16X47%2Fdp%2FB09FGH5JFP%2Fref%3Dsr_1_261_sspa%3Fkeywords%3Dbags%26qid%3D1675272628%26sprefix%3Dba%252Caps%252C283%26sr%3D8-261-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,The Vertical Unisex 25 Ltrs Laptop Backpack (Up to 14 Inch) With 2 Compartments,₹700,3.5 out of 5 stars,,,,
/sspa/click?ie=UTF8&spc=MTo4MTk3NDc4NDQyMTg2NDczOjE2NzUyNzI2Mjg6c3BfYnRmOjIwMTA0MTQwMjYzMzk4OjowOjo&url=%2FUrban-Backpack-Repellent-litres-Laptop%2Fdp%2FB08X2FD3T8%2Fref%3Dsr_1_262_sspa%3Fkeywords%3Dbags%26qid%3D1675272628%26sprefix%3Dba%252Caps%252C283%26sr%3D8-262-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Urban Tribe Amigo Backpack 15.6 Inch| Water Repellent |31 litres | Laptop Backpack for Men and Women,"₹1,998",3.9 out of 5 stars,,,,
https://aax-eu.amazon.in/x/c/RH6t7xWf6qQWgr2-cDRdDCIAAAGGDgeoOAMAAAH2AQBOL0EgICAgICAgICAgICBOL0EgICAgICAgICAgICA7g3pn/https://www.amazon.in/dp/B082PMDYR7?pd_rd_i=B082PMDYR7&pf_rd_p=cbfd6809-5a3a-4d5d-a1b3-c5abcf5b2572&pf_rd_r=AGKQTQ9DQ4A0SP5H3T37&pd_rd_wg=bMnAa&pd_rd_w=0UyDS&pd_rd_r=bf13d451-f3cb-48f4-a2a9-95784349fbc1,Scarters | Ultimate Premium Laptop Backpack for Business in Water Resistant Anti-Abrasive Nylon Fabric: Terminal ~ Navy Blue for up to 15.6 inch Laptop/MacBook,"₹12,399",4.6 out of 5 stars,,,,Visit the Scarters Store
/sspa/click?ie=UTF8&spc=MTo4NDY5MDM1MDc1MzY3MjQzOjE2NzUyNzI2Mjk6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_257_sspa%3Fkeywords%3Dbags%26qid%3D1675272629%26sprefix%3Dba%252Caps%252C283%26sr%3D8-257-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",₹998,3.9 out of 5 stars,,,,
